context,model,seed,prob_kind,bin,n,mean_pred,observed_rate,p_min,p_max
cross_segment,hgb,0,raw,4,3281,0.12353861978249962,0.09966473636086559,0.11587868960695807,0.13135708758458894
cross_segment,hgb,0,raw,5,3280,0.13978207405637916,0.1152439024390244,0.1313581651421991,0.14886480135927052
cross_segment,hgb,0,raw,6,3280,0.1583691539294922,0.13201219512195123,0.14886675312323613,0.16859682278947102
cross_segment,hgb,0,raw,7,3280,0.17901275381769338,0.15457317073170732,0.16860961555119278,0.1898296490570476
cross_segment,hgb,0,raw,8,3280,0.20233811923918646,0.17134146341463416,0.1898368120401377,0.21535258989922135
cross_segment,hgb,0,raw,9,3280,0.23178289764124155,0.20182926829268294,0.21536277066488574,0.2516832205366926
cross_segment,hgb,0,raw,10,3280,0.2892258390493407,0.2530487804878049,0.2516972697129683,0.4928658885450544
cross_segment,hgb,0,recal,1,3281,0.052805280189523206,0.04266991770801585,0.018360576159898653,0.06603092867046313
cross_segment,hgb,0,recal,2,3281,0.07410355308843365,0.06309052118256629,0.06603185986527732,0.08149843083379871
cross_segment,hgb,0,recal,3,3281,0.08828560303892262,0.08625419079548918,0.08149883650891294,0.0948796039299211
cross_segment,hgb,0,recal,4,3281,0.10131847384485912,0.09966473636086559,0.09488392392384365,0.10790021418842455
cross_segment,hgb,0,recal,5,3280,0.11502447702205143,0.1152439024390244,0.10790112322539284,0.12272322128854982
cross_segment,hgb,0,recal,6,3280,0.13082068296624202,0.13201219512195123,0.12272487973050988,0.13955833501949186
cross_segment,hgb,0,recal,7,3280,0.14850732181702989,0.15457317073170732,0.1395692942890047,0.15782833222357773
cross_segment,hgb,0,recal,8,3280,0.1686771758698427,0.17134146341463416,0.15783452292383696,0.1800046024762836
cross_segment,hgb,0,recal,9,3280,0.194425461469147,0.20182926829268294,0.18001349554699997,0.21198298961757073
cross_segment,hgb,0,recal,10,3280,0.245752553168697,0.2530487804878049,0.2119954505059833,0.4373566698882149
cross_segment,rf,0,raw,1,3281,0.03716143452199533,0.052727826882048155,0.0,0.05333333333333334
cross_segment,rf,0,raw,2,3281,0.06447526160723357,0.08351112465711673,0.05333333333333334,0.07666666666666666
cross_segment,rf,0,raw,3,3281,0.08491821599105964,0.10515086863761049,0.07666666666666666,0.09333333333333334
cross_segment,rf,0,raw,4,3281,0.10407904094280197,0.11246571167327034,0.09333333333333334,0.11333333333333333
cross_segment,rf,0,raw,5,3280,0.12346544715447155,0.12408536585365854,0.11333333333333333,0.13333333333333333
cross_segment,rf,0,raw,6,3280,0.1441666666666667,0.12865853658536586,0.13333333333333333,0.15666666666666668
cross_segment,rf,0,raw,7,3280,0.1677987804878049,0.1551829268292683,0.15666666666666668,0.18
cross_segment,rf,0,raw,8,3280,0.1960030487804878,0.16128048780487805,0.18,0.21333333333333335
cross_segment,rf,0,raw,9,3280,0.23629369918699186,0.1801829268292683,0.21333333333333335,0.2633333333333333
cross_segment,rf,0,raw,10,3280,0.3269939024390244,0.21646341463414634,0.2633333333333333,0.7
